name,eventCount,seasons,bestResult,lastResult,wonLost,titles,wonPct
Australian Open,15,"2004-2005, 2007-2012, 2014-2020",W,QF,65-14,1,82.3%
Roland Garros,16,2005-2020,W,W,100-2,13,98.0%
US Open,15,"2003-2011, 2013, 2015-2019",W,W,64-11,4,85.3%
Wimbledon,14,"2003, 2005-2008, 2010-2015, 2017-2019",W,SF,53-12,2,81.5%
Tour Finals,10,"2006-2007, 2009-2011, 2013, 2015, 2017, 2019-2020",F,SF,20-16,0,55.6%
Hamburg,4,"2003, 2007-2008, 2015",W,W,16-2,2,88.9%
Canada Masters,13,"2004-2011, 2013, 2015, 2017-2019",W,W,38-8,5,82.6%
Cincinnati Masters,12,"2004-2011, 2013, 2015-2017",W,QF,22-11,1,66.7%
Indian Wells Masters,14,"2004, 2006-2017, 2019",W,SF,54-10,3,84.4%
Madrid Masters,17,2003-2019,W,SF,52-12,5,81.3%
Miami Masters,13,"2004-2012, 2014-2017",F,F,40-12,0,76.9%
Monte Carlo Masters,16,"2003, 2005-2019",W,SF,71-5,11,93.4%
Paris Masters,8,"2007-2009, 2013, 2015, 2017, 2019-2020",F,SF,22-6,0,78.6%
Rome Masters,16,2005-2020,W,QF,63-7,9,90.0%
Shanghai Masters,8,"2009-2011, 2013-2017",F,F,16-8,0,66.7%
